IncidentID,Date,Tower,Repair Cost,Downtime,Cause,Asset,Failure mode,Effect
1,05/01/2011,26,7449,24,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
2,09/01/2011,7,2443,48,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
3,15/01/2011,22,6504,23,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
4,20/01/2011,18,5569,45,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
5,27/01/2011,6,7219,26,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
6,28/01/2011,15,2486,52,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
7,03/02/2011,33,3299,77,Extreme weather,tower,vibration (forced shutdown),"Cost, downtime "
8,05/02/2011,6,2365,48,Voltage spike,generator,trip (forced shutdown),"Cost, downtime "
9,10/02/2011,14,1500,0,slippery stair,personnel,falling,"Cost, downtime  and Long absence"
10,13/02/2011,36,2562,46,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
11,13/02/2011,7,19156,65,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
12,17/02/2011,11,2470,44,Voltage spike,generator,trip (forced shutdown),"Cost, downtime "
13,19/02/2011,1,65719,170,overload,gearbox,Tooth failure,"Cost, downtime "
14,24/02/2011,20,1500,75,market demand,vessel,Being unavailable,"Cost, downtime "
15,02/03/2011,35,2612,45,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
16,06/03/2011,17,3233,78,Extreme weather,tower,vibration (forced shutdown),"Cost, downtime "
17,10/03/2011,15,2413,51,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
18,15/03/2011,29,50498,169,Wear,Cable,Short circuit,"Cost, downtime "
19,22/03/2011,19,2403,46,ventilation error,generator,overheating (forced Shutdown),"Cost, downtime "
20,22/03/2011,7,2490,48,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
21,29/03/2011,8,18510,66,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
22,30/03/2011,14,2526,44,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
23,03/04/2011,5,6393,25,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
24,03/04/2011,35,2319,49,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
25,05/04/2011,26,2563,48,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
26,10/04/2011,32,6355,50,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
27,14/04/2011,28,5543,45,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
28,17/04/2011,20,3270725,4268,Brake system failure,rotor,extreme overspeed,"Cost, downtime  and Collapse filmed, international news media. Some 300 complaints. 5 km2 lightly polluted."
29,21/04/2011,35,2674,45,Voltage spike,generator,trip (forced shutdown),"Cost, downtime "
30,26/04/2011,7,19489,75,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
