IncidentID,Date,Tower,Description,Repair Cost,Downtime,Non-financial impact,Total Severity
1,05/01/2011,26,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,7449,24,Slippery floor,2
2,09/01/2011,7,Incorrect input for the pitch system resulted in trip (forced shutdown).,2443,48,,1
3,15/01/2011,22,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,6504,23,Slippery floor,1
4,20/01/2011,18,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,5569,45,,2
5,27/01/2011,6,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,7219,26,Slippery floor,2
6,28/01/2011,15,Incorrect input for the pitch system resulted in trip (forced shutdown).,2486,52,,2
7,03/02/2011,33,Extreme weather resulted in tower vibration (forced shutdown).,3299,77,,2
8,05/02/2011,6,Voltage spike for the generator resulted in trip (forced shutdown).,2365,48,,1
9,10/02/2011,14,Slippery stairs resulted in personnel falling. Impact: Long absence,1500,0,Long absence,3
10,13/02/2011,36,Incorrect input for the yaw system resulted in trip (forced shutdown).,2562,46,,1
11,13/02/2011,7,Imbalance of the blade resulted in vibration (forced shutdown).,19156,65,,2
12,17/02/2011,11,Voltage spike for the generator resulted in trip (forced shutdown).,2470,44,,1
13,19/02/2011,1,Overload of the gearbox resulted in tooth failure.,65719,170,,2
14,24/02/2011,20,Market demand on the vessel resulted in it being unavailable .,1500,75,,2
15,02/03/2011,35,Incorrect input for the pitch system resulted in trip (forced shutdown).,2612,45,,1
16,06/03/2011,17,Extreme weather resulted in tower vibration (forced shutdown).,3233,78,,2
17,10/03/2011,15,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2413,51,,2
18,15/03/2011,29,Wear of the cable resulted in short circuit.,50498,169,,2
19,22/03/2011,19,Ventilation error for the generator resulted in overheating (forced shutdown).,2403,46,,1
20,22/03/2011,7,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2490,48,,1
21,29/03/2011,8,Imbalance of the blade resulted in vibration (forced shutdown).,18510,66,,2
22,30/03/2011,14,Incorrect input for the pitch system resulted in trip (forced shutdown).,2526,44,,1
23,03/04/2011,5,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,6393,25,Slippery floor,2
24,03/04/2011,35,Incorrect input for the yaw system resulted in trip (forced shutdown).,2319,49,,1
25,05/04/2011,26,Incorrect input for the yaw system resulted in trip (forced shutdown).,2563,48,,1
26,10/04/2011,32,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6355,50,,2
27,14/04/2011,28,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,5543,45,,2
28,17/04/2011,20,"Brake system failure of the rotor resulted in extreme overspeed=> tower collapse. Impact: Collapse filmed, international news media. Some 300 complaints. 5 km2 lightly polluted.",3270725,4268,"Collapse filmed, international news media. Some 300 complaints. 5 km2 lightly polluted.",4
29,21/04/2011,35,Voltage spike for the generator resulted in trip (forced shutdown).,2674,45,,1
30,26/04/2011,7,Imbalance of the blade resulted in vibration (forced shutdown).,19489,75,,2
31,28/04/2011,18,Incorrect input for the brake system resulted in trip (forced shutdown).,2499,48,,1
32,30/04/2011,12,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6437,51,,2
33,06/05/2011,13,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6917,51,,2
34,07/05/2011,33,Ventilation error for the generator resulted in overheating (forced shutdown).,2595,52,,2
35,08/05/2011,7,Incorrect input for the yaw system resulted in trip (forced shutdown).,2417,51,,2
36,13/05/2011,11,Incorrect input for the yaw system resulted in trip (forced shutdown).,2665,50,,2
37,20/05/2011,17,Market demand on the vessel resulted in it being unavailable .,1500,78,,2
38,24/05/2011,23,Incorrect input for the pitch system resulted in trip (forced shutdown).,2361,45,,1
39,28/05/2011,19,"Collision with flock of birds of the blade resulted in rupture. Impact: Collision filmed, national news media; 80 complaints.  ",819488,643,"Collision filmed, national news media; 80 complaints.  ",3
40,29/05/2011,16,Extreme weather resulted in tower vibration (forced shutdown).,2959,65,,2
41,31/05/2011,15,Imbalance of the blade resulted in vibration (forced shutdown).,25114,74,,2
42,02/06/2011,19,Incorrect input for the brake system resulted in trip (forced shutdown).,2506,48,,1
43,09/06/2011,7,Incorrect input for the pitch system resulted in trip (forced shutdown).,2455,50,,1
44,16/06/2011,21,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2493,52,,2
45,16/06/2011,16,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6406,52,,2
46,20/06/2011,2,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,6398,26,Slippery floor,2
47,22/06/2011,7,Incorrect input for the brake system resulted in trip (forced shutdown).,2604,45,,1
48,26/06/2011,8,Wear of the cable resulted in short circuit.,43138,157,,2
49,29/06/2011,5,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,6994,26,Slippery floor,2
50,03/07/2011,35,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2648,50,,2
51,09/07/2011,21,Extreme weather resulted in blade developing an edge crack.,1001151,330,,4
52,16/07/2011,36,Ventilation error for the generator resulted in overheating (forced shutdown).,2332,48,,1
53,21/07/2011,32,Incorrect input for the yaw system resulted in trip (forced shutdown).,2337,50,,1
